task_id,employee_id,tasks_completed,hours_spent,task_date
1,101,5,7,2026-05-01
2,102,4,6,2026-05-01
3,103,0,0,2026-05-01
4,104,6,8,2026-05-01
5,105,3,5,2026-05-01
6,106,7,8,2026-05-01
7,107,0,0,2026-05-01
8,108,5,7,2026-05-01
9,109,4,6,2026-05-01
10,110,6,8,2026-05-01
11,111,5,7,2026-05-02
12,112,3,5,2026-05-02
13,113,0,0,2026-05-02
14,114,7,8,2026-05-02
15,115,4,6,2026-05-02
16,116,6,8,2026-05-02
17,117,0,0,2026-05-02
18,118,5,7,2026-05-02
19,119,3,5,2026-05-02
20,120,6,8,2026-05-02
