sale_id,sale_date,store_id,product_id,employee_id,quantity,discount_percent,payment_mode,product_name,category,price,cost,brand,revenue,discount_amount,final_revenue,profit,profit_margin
SA101,2026-01-02,S101,P101,E101,2,10,Credit Card,Laptop,Electronics,55000,48000,Dell,110000,11000.0,99000.0,3000.0,3.0303030303030303
SA102,2026-01-03,S102,P102,E103,3,5,UPI,Smartphone,Electronics,30000,25000,Samsung,90000,4500.0,85500.0,10500.0,12.280701754385964
SA103,2026-01-04,S103,P103,E105,5,15,Cash,Headphones,Accessories,2000,1200,Boat,10000,1500.0,8500.0,2500.0,29.411764705882355
SA104,2026-01-05,S104,P104,E107,4,8,Debit Card,Keyboard,Accessories,1500,900,Logitech,6000,480.0,5520.0,1920.0,34.78260869565217
SA105,2026-01-06,S105,P105,E109,6,12,UPI,Mouse,Accessories,800,400,HP,4800,576.0,4224.0,1824.0,43.18181818181818
SA106,2026-01-07,S106,P106,E111,1,7,Credit Card,Television,Electronics,45000,39000,Sony,45000,3150.0,41850.0,2850.0,6.810035842293908
SA107,2026-01-08,S107,P107,E113,2,10,Cash,Refrigerator,Appliances,38000,32000,LG,76000,7600.0,68400.0,4400.0,6.432748538011696
SA108,2026-01-09,S108,P108,E115,1,5,UPI,Washing Machine,Appliances,29000,24000,Whirlpool,29000,1450.0,27550.0,3550.0,12.885662431941924
SA109,2026-01-10,S109,P109,E117,1,6,Credit Card,Air Conditioner,Appliances,42000,36000,Daikin,42000,2520.0,39480.0,3480.0,8.814589665653495
SA110,2026-01-11,S110,P110,E119,3,9,Debit Card,Tablet,Electronics,18000,15000,Lenovo,54000,4860.0,49140.0,4140.0,8.424908424908425
SA111,2026-01-12,S101,P111,E102,4,10,UPI,Smart Watch,Wearables,5000,3500,Noise,20000,2000.0,18000.0,4000.0,22.22222222222222
SA112,2026-01-13,S102,P112,E104,5,12,Cash,Speaker,Accessories,3500,2200,JBL,17500,2100.0,15400.0,4400.0,28.57142857142857
SA113,2026-01-14,S103,P113,E106,2,7,Credit Card,Printer,Electronics,12000,9500,Canon,24000,1680.0,22320.0,3320.0,14.874551971326163
SA114,2026-01-15,S104,P114,E108,1,4,UPI,Camera,Electronics,65000,58000,Nikon,65000,2600.0,62400.0,4400.0,7.051282051282051
SA115,2026-01-16,S105,P115,E110,3,10,Debit Card,Mixer Grinder,Appliances,4500,3000,Prestige,13500,1350.0,12150.0,3150.0,25.925925925925924
SA116,2026-01-17,S106,P116,E112,2,5,Cash,Microwave Oven,Appliances,9000,7000,IFB,18000,900.0,17100.0,3100.0,18.128654970760234
SA117,2026-01-18,S107,P117,E114,4,8,UPI,Router,Networking,2500,1700,TP-Link,10000,800.0,9200.0,2400.0,26.08695652173913
SA118,2026-01-19,S108,P118,E116,6,15,Credit Card,Power Bank,Accessories,1800,1000,Mi,10800,1620.0,9180.0,3180.0,34.64052287581699
SA119,2026-01-20,S109,P119,E118,2,6,Debit Card,External Hard Disk,Storage,6000,4800,Seagate,12000,720.0,11280.0,1680.0,14.893617021276595
SA120,2026-01-21,S110,P120,E120,8,20,Cash,USB Drive,Storage,700,350,Sandisk,5600,1120.0,4480.0,1680.0,37.5
